item_type,item_text,best_testcase_id,best_similarity,best_testcase_text
flow,"user -> allattamento — type=association; label=""""; explanation=""parent-child relationship""",TC-Family-001,0.805979311466217,"test case id: tc-family-001 title: add document to allattamento module: allattamentofragment source pages: 3 preconditions: user is logged in and on the allattamentofragment. test data: valid document details. test steps: 1. enter valid document details. 2. click on the ""aggiungi documento"" button. expected result: the document is added to the allattamento record."
flow,"user -> famiglia — type=association; label=""""; explanation=""parent-family relationship""",TC-JoinFamily-001,0.7965108156204224,"test case id: tc-joinfamily-001 title: join existing family module: joinfamilyactivity source pages: 3 preconditions: user is logged in and on the joinfamilyactivity. test data: valid family code. test steps: 1. enter a valid family code. 2. click on the ""join"" button. expected result: the user is added to the family, and the application redirects to the familyactivity."
flow,"allattamento -> famiglia — type=association; label=""""; explanation=""child-family relationship""",TC-Family-001,0.7946087718009949,"test case id: tc-family-001 title: add document to allattamento module: allattamentofragment source pages: 3 preconditions: user is logged in and on the allattamentofragment. test data: valid document details. test steps: 1. enter valid document details. 2. click on the ""aggiungi documento"" button. expected result: the document is added to the allattamento record."
flow,flow 1: user -> avvia raccolta -> allattamento -> avvia raccolta -> famiglia -> avvia raccolta,TC-Allattamento-001,0.7754092216491699,"test case id: tc-allattamento-001 title: start allattamento collection module: allattamentofragment source pages: 3 preconditions: user is logged in and on the allattamentofragment. test data: no specific data required. test steps: 1. tap on the ""avvia raccolta"" button. expected result: the collection process for allattamento starts, and the left and right counters begin to increment."
flow,"this diagram models a parent-child relationship within a family context, where a parent user interacts with their child's data and family information.",TC-JoinFamily-001,0.7504702806472778,"test case id: tc-joinfamily-001 title: join existing family module: joinfamilyactivity source pages: 3 preconditions: user is logged in and on the joinfamilyactivity. test data: valid family code. test steps: 1. enter a valid family code. 2. click on the ""join"" button. expected result: the user is added to the family, and the application redirects to the familyactivity."
flow,the main flow involves the parent user initiating data collection for both the child and the family.,TC-JoinFamily-001,0.7532452344894409,"test case id: tc-joinfamily-001 title: join existing family module: joinfamilyactivity source pages: 3 preconditions: user is logged in and on the joinfamilyactivity. test data: valid family code. test steps: 1. enter a valid family code. 2. click on the ""join"" button. expected result: the user is added to the family, and the application redirects to the familyactivity."
flow,there are no conditions or branches visible in the diagram.,TC-Graph-004,0.7549300193786621,test case id: tc-graph-004 title: display empty graph module: graphsonnofragment source pages: 3 preconditions: user is logged in and on the graphsonnofragment. test data: no sonno data available. test steps: 1. ensure there is no sonno data available. 2. verify the graph displays an empty state. expected result: the graph displays an empty state indicating no data is available.
flow,the diagram does not show any loops or repetitions.,TC-Graph-002,0.7259277701377869,test case id: tc-graph-002 title: display allattamento graph module: graphallattamentofragment source pages: 3 preconditions: user is logged in and on the graphallattamentofragment. test data: no specific data required. test steps: 1. ensure there is valid allattamento data available. 2. verify the graph displays correctly. expected result: the graph displays the allattamento data accurately.
flow,the annotations indicate that this is related to a software engineering course taught by prof. agostino cortesi.,TC-Graph-002,0.7226952314376831,test case id: tc-graph-002 title: display allattamento graph module: graphallattamentofragment source pages: 3 preconditions: user is logged in and on the graphallattamentofragment. test data: no specific data required. test steps: 1. ensure there is valid allattamento data available. 2. verify the graph displays correctly. expected result: the graph displays the allattamento data accurately.
flow,"home -> accesso al menu a fondo — type=association; label=""si""; explanation=""access check""",TC-Family-001,0.7631312012672424,"test case id: tc-family-001 title: add document to allattamento module: allattamentofragment source pages: 3 preconditions: user is logged in and on the allattamentofragment. test data: valid document details. test steps: 1. enter valid document details. 2. click on the ""aggiungi documento"" button. expected result: the document is added to the allattamento record."
flow,"accesso al menu a fondo -> sezione di monitoraggio — type=association; label=""si""; explanation=""yes path""",TC-Family-001,0.7780143022537231,"test case id: tc-family-001 title: add document to allattamento module: allattamentofragment source pages: 3 preconditions: user is logged in and on the allattamentofragment. test data: valid document details. test steps: 1. enter valid document details. 2. click on the ""aggiungi documento"" button. expected result: the document is added to the allattamento record."
flow,"accesso al menu a fondo -> note — type=association; label=""no""; explanation=""no path""",TC-Family-001,0.7606183290481567,"test case id: tc-family-001 title: add document to allattamento module: allattamentofragment source pages: 3 preconditions: user is logged in and on the allattamentofragment. test data: valid document details. test steps: 1. enter valid document details. 2. click on the ""aggiungi documento"" button. expected result: the document is added to the allattamento record."
flow,"note -> ritorno alla home — type=association; label=""no""; explanation=""no path""",TC-Home-002,0.7807024717330933,"test case id: tc-home-002 title: navigate to notes section module: homeactivity source pages: 2,3 preconditions: user is logged in and on the home screen. test data: no specific data required. test steps: 1. tap on the menu at the bottom of the page. 2. select ""note"" from the menu options. expected result: user is redirected to the notefragment."
flow,flow 1: home -> accesso al menu a fondo (si) -> sezione di monitoraggio,TC-Home-001,0.7831275463104248,"test case id: tc-home-001 title: navigate to monitoring section module: homeactivity source pages: 2,3 preconditions: user is logged in and on the home screen. test data: no specific data required. test steps: 1. tap on the menu at the bottom of the page. 2. select ""monitoraggio"" from the menu options. expected result: user is redirected to the monitorfragment."
flow,flow 2: home -> accesso al menu a fondo (no) -> note -> ritorno alla home,TC-Home-002,0.7735259532928467,"test case id: tc-home-002 title: navigate to notes section module: homeactivity source pages: 2,3 preconditions: user is logged in and on the home screen. test data: no specific data required. test steps: 1. tap on the menu at the bottom of the page. 2. select ""note"" from the menu options. expected result: user is redirected to the notefragment."
flow,this activity diagram models a menu navigation process at the bottom of a page.,TC-Home-002,0.7451804876327515,"test case id: tc-home-002 title: navigate to notes section module: homeactivity source pages: 2,3 preconditions: user is logged in and on the home screen. test data: no specific data required. test steps: 1. tap on the menu at the bottom of the page. 2. select ""note"" from the menu options. expected result: user is redirected to the notefragment."
