item_type,item_text,rank,matched_testcase_id,similarity_score,matched_testcase_text
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",1,TC-Search-001,0.7553572654724121,"test case id: tc-search-001 title: successful search for rental item module: search source pages: 4 preconditions: user is logged in and has entered valid search criteria. test data: search term: ""drill"" test steps: 1. enter search term: drill 2. click on search button expected result: query is executed successfully, and relevant results are displayed."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",2,TC-Login-001,0.747916579246521,"test case id: tc-login-001 title: successful login module: login source pages: 3 preconditions: user has valid credentials. test data: username: testuser, password: testpassword test steps: 1. enter username: testuser 2. enter password: testpassword 3. click on login button expected result: user is granted access."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",3,TC-CreateAnnouncement-001,0.7312803268432617,"test case id: tc-createannouncement-001 title: successful creation of rental announcement module: create announcement source pages: 7 preconditions: user is logged in and has entered valid data. test data: announcement title: ""need a drill"", description: [""looking for a powerful drilling tool""] test steps: 1. enter announcement title: need a drill 2. enter announcement description: looking for a powerful drilling tool 3. click on create button expected result: announcement is created successfully, and confirmation message is displayed."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",4,TC-CreateObject-001,0.7237569093704224,"test case id: tc-createobject-001 title: successful creation of rental object module: create object source pages: 5 preconditions: user is logged in and has entered valid data. test data: object name: ""drill"", description: [""powerful drilling tool""] test steps: 1. enter object name: drill 2. enter object description: powerful drilling tool 3. click on create button expected result: object is created successfully, and confirmation message is displayed."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",5,TC-Login-002,0.715392529964447,"test case id: tc-login-002 title: failed login attempt module: login source pages: 3 preconditions: user has invalid credentials. test data: username: wronguser, password: wrongpassword test steps: 1. enter username: wronguser 2. enter password: wrongpassword 3. click on login button expected result: error message is displayed, prompting the user to try again."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",6,TC-Search-002,0.7126426100730896,"test case id: tc-search-002 title: failed search for rental item module: search source pages: 4 preconditions: user is logged in and has entered invalid search criteria. test data: search term: ""nonexistentitem"" test steps: 1. enter search term: nonexistentitem 2. click on search button expected result: error message is displayed, indicating no results found."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",7,TC-CreateObject-002,0.7121258974075317,"test case id: tc-createobject-002 title: failed creation of rental object module: create object source pages: 5 preconditions: user is logged in and has entered invalid data. test data: object name: """", description: [] test steps: 1. enter object name: 2. enter object description: 3. click on create button expected result: error message is displayed, indicating invalid input."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",8,TC-CreateService-001,0.7103918194770813,"test case id: tc-createservice-001 title: successful creation of rental service module: create service source pages: 6 preconditions: user is logged in and has entered valid data. test data: service name: ""drilling service"", description: [""professional drilling service""] test steps: 1. enter service name: drilling service 2. enter service description: professional drilling service 3. click on create button expected result: service is created successfully, and confirmation message is displayed."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",9,TC-CreateAnnouncement-002,0.7092702388763428,"test case id: tc-createannouncement-002 title: failed creation of rental announcement module: create announcement source pages: 7 preconditions: user is logged in and has entered invalid data. test data: announcement title: """", description: [] test steps: 1. enter announcement title: 2. enter announcement description: 3. click on create button expected result: error message is displayed, indicating invalid input."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",10,TC-CreateService-002,0.702027440071106,"test case id: tc-createservice-002 title: failed creation of rental service module: create service source pages: 6 preconditions: user is logged in and has entered invalid data. test data: service name: """", description: [] test steps: 1. enter service name: 2. enter service description: 3. click on create button expected result: error message is displayed, indicating invalid input."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",11,TC-DeleteObject-001,0.6770800352096558,"test case id: tc-deleteobject-001 title: successful deletion of rental object module: delete object source pages: 9 preconditions: user is logged in and has selected a valid object. test data: object id: 123 test steps: 1. select object id: 123 2. click on delete button expected result: object is deleted successfully, and confirmation message is displayed."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",12,TC-DeleteObject-002,0.6606642007827759,"test case id: tc-deleteobject-002 title: failed deletion of rental object module: delete object source pages: 9 preconditions: user is logged in and has selected an invalid object. test data: object id: 999 test steps: 1. select object id: 999 2. click on delete button expected result: error message is displayed, indicating the object does not exist."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",13,TC-DeleteService-001,0.6545497179031372,"test case id: tc-deleteservice-001 title: successful deletion of rental service module: delete service source pages: 9 preconditions: user is logged in and has selected a valid service. test data: service id: 123 test steps: 1. select service id: 123 2. click on delete button expected result: service is deleted successfully, and confirmation message is displayed."
flow,"main program -> routine 1 — type=association; label=""""; explanation=""flow""",14,TC-DeleteAnnouncement-001,0.6539937257766724,"test case id: tc-deleteannouncement-001 title: successful deletion of rental announcement module: delete announcement source pages: 8 preconditions: user is logged in and has selected a valid announcement. test data: announcement id: 123 test steps: 1. select announcement id: 123 2. click on delete button expected result: announcement is deleted successfully, and confirmation message is displayed."
